date,arrival,departure,slot_arrival,slot_departure,holiday_type
2002.11.6,24232,28156,,,0
2002.11.7,25888,28526,,,0
2002.11.8,29744,30278,,,0
2002.11.9,29372,26181,,,1
2002.11.10,33901,31790,,,1
2002.11.11,28862,30883,,,0
2002.11.12,24053,26197,,,0
2002.11.13,25862,30076,,,0
2002.11.14,27427,28968,,,0
2002.11.15,31722,30657,,,0
2002.11.16,30014,28388,,,1
2002.11.17,34496,31357,,,1
2002.11.18,28322,30484,,,0
2002.11.19,22785,26261,,,0
2002.11.20,25110,29721,,,0
2002.11.21,27174,27197,,,0
2002.11.22,29056,29498,,,0
2002.11.23,29211,25591,,,1
2002.11.24,33883,31033,,,1
2002.11.25,30162,27334,,,0
2002.11.26,23798,23495,,,0
2002.11.27,25935,27247,,,0
2002.11.28,26021,28699,,,0
2002.11.29,29829,29469,,,0
2002.11.30,27700,25572,,,1
2002.12.1,32767,29504,,,1
2002.12.2,29073,27413,,,0
2002.12.3,26025,24801,,,0
2002.12.4,26451,26855,,,0
2002.12.5,27053,27151,,,0
2002.12.6,30149,30746,,,0
2002.12.7,29189,24023,,,1
2002.12.8,33204,27399,,,1
2002.12.9,26732,30727,,,0
2002.12.10,25245,25487,,,0
2002.12.11,27679,28064,,,0
2002.12.12,26084,28608,,,0
2002.12.13,28441,31000,,,0
2002.12.14,27879,27291,,,1
2002.12.15,34471,31335,,,1
2002.12.16,29316,26903,,,0
2002.12.17,26870,24000,,,0
2002.12.18,28599,28224,,,0
2002.12.19,28691,30806,,,1
2002.12.20,28134,29361,,,0
2002.12.21,30605,26192,,,1
2002.12.22,34401,27451,,,1
2002.12.23,27150,27526,,,0
2002.12.24,23805,22762,,,0
2002.12.25,27240,25315,,,1
2002.12.26,26674,25991,,,0
2002.12.27,26605,28858,,,0
2002.12.28,28315,31212,,,1
2002.12.29,32881,29218,,,1
2002.12.30,26102,27047,,,0
2002.12.31,25434,28612,,,0
2003.1.1,24950,28366,,,1
2003.1.2,22860,33173,,,0
