date,arrival,departure,slot_arrival,slot_departure
2002.10.20,36539,31554,,
2002.10.21,30320,31506,,
2002.10.22,25518,25863,,
2002.10.23,27172,27850,,
2002.10.24,27649,30108,,
2002.10.25,31019,32933,,
2002.10.26,29659,28467,,
2002.10.27,34251,32274,,
2002.10.28,29244,30507,,
2002.10.29,24449,24898,,
2002.10.30,25869,28257,,
2002.10.31,27854,27105,,
2002.11.1,28592,29745,,
2002.11.2,30665,24752,,
2002.11.3,33017,28387,,
2002.11.4,26882,32722,,
2002.11.5,22798,27613,,
2002.11.6,24232,28156,,
2002.11.7,25888,28526,,
2002.11.8,29744,30278,,
2002.11.9,29372,26181,,
2002.11.10,33901,31790,,
2002.11.11,28862,30883,,
2002.11.12,24053,26197,,
2002.11.13,25862,30076,,
2002.11.14,27427,28968,,
2002.11.15,31722,30657,,
2002.11.16,30014,28388,,
2002.11.17,34496,31357,,
2002.11.18,28322,30484,,
2002.11.19,22785,26261,,
2002.11.20,25110,29721,,
2002.11.21,27174,27197,,
2002.11.22,29056,29498,,
2002.11.23,29211,25591,,
2002.11.24,33883,31033,,
2002.11.25,30162,27334,,
2002.11.26,23798,23495,,
2002.11.27,25935,27247,,
2002.11.28,26021,28699,,
2002.11.29,29829,29469,,
2002.11.30,27700,25572,,
2002.12.1,32767,29504,,
2002.12.2,29073,27413,,
2002.12.3,26025,24801,,
2002.12.4,26451,26855,,
2002.12.5,27053,27151,,
2002.12.6,30149,30746,,
2002.12.7,29189,24023,,
2002.12.8,33204,27399,,
2002.12.9,26732,30727,,
2002.12.10,25245,25487,,
2002.12.11,27679,28064,,
2002.12.12,26084,28608,,
2002.12.13,28441,31000,,
2002.12.14,27879,27291,,
2002.12.15,34471,31335,,
2002.12.16,29316,26903,,
2002.12.17,26870,24000,,
2002.12.18,28599,28224,,
2002.12.19,28691,30806,,
2002.12.20,28134,29361,,
2002.12.21,30605,26192,,
2002.12.22,34401,27451,,
2002.12.23,27150,27526,,
2002.12.24,23805,22762,,
2002.12.25,27240,25315,,
2002.12.26,26674,25991,,
2002.12.27,26605,28858,,
2002.12.28,28315,31212,,
2002.12.29,32881,29218,,
2002.12.30,26102,27047,,
2002.12.31,25434,28612,,
2003.1.1,24950,28366,,
2003.1.2,22860,33173,,
2003.1.3,22803,34681,,
2003.1.4,24419,34140,,
2003.1.5,32715,37553,,
2003.1.6,24271,36312,,
2003.1.7,22654,32511,,
2003.1.8,23399,33752,,
2003.1.9,24697,33139,,
2003.1.10,27898,34213,,
2003.1.11,31512,30661,,
2003.1.12,35592,32126,,
2003.1.13,29489,36610,,
2003.1.14,28679,32706,,
2003.1.15,30241,35217,,
2003.1.16,30550,33855,,
2003.1.17,32906,34443,,
2003.1.18,33306,30228,,
2003.1.19,39032,33032,,
2003.1.20,35167,30549,,
2003.1.21,31803,28717,,
2003.1.22,32215,31394,,
2003.1.23,32536,30377,,
2003.1.24,33463,31323,,
2003.1.25,33837,26918,,
2003.1.26,39209,26238,,
2003.1.27,34370,22026,,
2003.1.28,32856,20879,,
2003.1.29,32202,28072,,
2003.1.30,29777,36821,,
2003.1.31,27731,32752,,
2003.2.1,22828,15317,,
2003.2.2,38861,20098,,
2003.2.3,36255,24220,,
2003.2.4,30134,26783,,
2003.2.5,28865,31515,,
2003.2.6,23974,31489,,
2003.2.7,25810,35061,,
2003.2.8,27434,31026,,
2003.2.9,25633,31188,,
2003.2.10,27649,32123,,
2003.2.11,26796,30480,,
2003.2.12,26520,31803,,
2003.2.13,24026,31229,,
2003.2.14,28144,33987,,
2003.2.15,29047,29791,,
2003.2.16,36946,34241,,
2003.2.17,32092,33283,,
2003.2.18,29044,29644,,
2003.2.19,30347,33227,,
2003.2.20,28946,32725,,
2003.2.21,32633,35398,,
2003.2.22,33377,30808,,
2003.2.23,38849,34082,,
2003.2.24,34882,30021,,
2003.2.25,32752,27159,,
2003.2.26,33410,32128,,
2003.2.27,32273,31218,,
2003.2.28,33376,33508,,
2003.3.1,30974,27947,,
2003.3.2,39705,26886,,
2003.3.3,29575,24513,,
2003.3.4,23683,22953,,
2003.3.5,24754,27459,,
2003.3.6,23966,25646,,
2003.3.7,26343,28030,,
2003.3.8,25183,22642,,
2003.3.9,30677,25615,,
2003.3.10,26740,25797,,
2003.3.11,22590,23138,,
2003.3.12,24379,27760,,
2003.3.13,23523,26134,,
2003.3.14,26969,28185,,
2003.3.15,27440,24777,,
2003.3.16,31316,27334,,
2003.3.17,26789,26223,,
2003.3.18,22551,21912,,
2003.3.19,26277,25338,,
2003.3.20,26401,23953,,
2003.3.21,30092,25590,,
2003.3.22,23023,22952,,
2003.3.23,27729,27438,,
2003.3.24,23619,22963,,
2003.3.25,20627,19929,,
2003.3.26,23053,22191,,
2003.3.27,22160,21049,,
2003.3.28,23488,24126,,
2003.3.29,22931,21353,,
2003.3.30,24415,23147,,
2003.3.31,20933,20938,,
2003.4.1,18094,17463,,
2003.4.2,17532,18693,,
2003.4.3,18466,19159,,
2003.4.4,19342,22774,,
2003.4.5,17202,18970,,
2003.4.6,26058,20032,,
2003.4.7,19066,17553,,
2003.4.8,15749,14217,,
2003.4.9,15717,15493,,
2003.4.10,18440,16659,,
2003.4.11,18655,16683,,
2003.4.12,18904,15891,,
2003.4.13,21481,19231,,
2003.4.14,18113,15749,,
2003.4.15,15614,14519,,
2003.4.16,16750,17858,,
2003.4.17,16991,17513,,
2003.4.18,18751,16262,,
2003.4.19,17509,15850,,
2003.4.20,18869,19716,,
2003.4.21,15200,18746,,
2003.4.22,14249,14848,,
2003.4.23,15381,17117,,
2003.4.24,17707,16368,,
2003.4.25,18467,17174,,
2003.4.26,21621,17166,,
2003.4.27,21898,17984,,
2003.4.28,16513,15718,,
2003.4.29,17641,14943,,
2003.4.30,16975,17423,,
2003.5.1,19801,19057,,
2003.5.2,16928,18291,,
2003.5.3,17665,23058,,
2003.5.4,15914,19750,,
2003.5.5,25066,19400,,
2003.5.6,14433,13752,,
2003.5.7,12736,14236,,
2003.5.8,17219,14932,,
2003.5.9,14549,12846,,
2003.5.10,16065,14826,,
2003.5.11,20017,17499,,
2003.5.12,16457,15666,,
2003.5.13,13901,13628,,
2003.5.14,13934,14349,,
2003.5.15,15842,16093,,
2003.5.16,16006,17367,,
2003.5.17,16236,16034,,
2003.5.18,18327,18055,,
2003.5.19,15566,16124,,
2003.5.20,12919,13854,,
2003.5.21,14831,15037,,
2003.5.22,15418,14273,,
2003.5.23,16064,15808,,
2003.5.24,16657,15127,,
2003.5.25,19061,16907,,
2003.5.26,15979,16594,,
2003.5.27,13797,14646,,
2003.5.28,16064,15765,,
2003.5.29,16888,17682,,
2003.5.30,16940,18136,,
2003.5.31,16828,17570,,
2003.6.1,19388,17510,,
2003.6.2,15901,15921,,
2003.6.3,13280,14312,,
2003.6.4,15679,18234,,
2003.6.5,15885,23487,,
2003.6.6,17050,27434,,
2003.6.7,19909,14850,,
2003.6.8,33124,17490,,
2003.6.9,22949,18537,,
2003.6.10,15527,15804,,
2003.6.11,18231,18312,,
2003.6.12,18756,19346,,
2003.6.13,18474,19995,,
2003.6.14,19979,19984,,
2003.6.15,22707,22276,,
2003.6.16,20641,19983,,
2003.6.17,16569,17801,,
2003.6.18,18528,21543,,
2003.6.19,20480,22575,,
2003.6.20,20571,23986,,
2003.6.21,22048,23091,,
2003.6.22,25742,25021,,
2003.6.23,22781,24347,,
2003.6.24,19095,23017,,
2003.6.25,22846,25857,,
2003.6.26,23674,26248,,
2003.6.27,24303,29051,,
2003.6.28,27029,26824,,
2003.6.29,28572,28392,,
2003.6.30,27493,27304,,
2003.7.1,22196,24412,,
2003.7.2,23736,25465,,
2003.7.3,25103,26898,,
2003.7.4,24786,25134,,
2003.7.5,27706,24566,,
2003.7.6,27623,25289,,
2003.7.7,25447,27096,,
2003.7.8,22252,23607,,
2003.7.9,24526,26336,,
2003.7.10,24435,28015,,
2003.7.11,24597,28915,,
2003.7.12,27035,27786,,
2003.7.13,28623,29766,,
2003.7.14,26702,30632,,
2003.7.15,24423,27364,,
2003.7.16,25434,33472,,
2003.7.17,28620,34498,,
2003.7.18,27983,28675,,
2003.7.19,32531,28152,,
2003.7.20,36974,30195,,
2003.7.21,30716,31129,,
2003.7.22,24356,28491,,
2003.7.23,27885,30841,,
2003.7.24,27219,32427,,
2003.7.25,27622,33904,,
2003.7.26,30282,33978,,
2003.7.27,32837,36982,,
2003.7.28,30616,35140,,
2003.7.29,27873,31315,,
2003.7.30,30826,38058,,
2003.7.31,32745,38591,,
2003.8.1,32114,43136,,
2003.8.2,38274,37207,,
2003.8.3,45009,37487,,
2003.8.4,39855,35807,,
2003.8.5,33700,30065,,
2003.8.6,37179,33844,,
2003.8.7,35861,30454,,
2003.8.8,35763,32084,,
2003.8.9,37785,33947,,
2003.8.10,40063,33815,,
2003.8.11,35854,33995,,
2003.8.12,32461,30978,,
2003.8.13,36202,36536,,
2003.8.14,35419,39874,,
2003.8.15,37565,42566,,
2003.8.16,38216,32703,,
2003.8.17,49786,33761,,
2003.8.18,42385,34225,,
2003.8.19,36485,29224,,
2003.8.20,37004,34124,,
2003.8.21,36938,32390,,
2003.8.22,34635,32688,,
2003.8.23,34899,31833,,
2003.8.24,40076,33825,,
2003.8.25,35281,34783,,
2003.8.26,30457,28845,,
2003.8.27,31200,32832,,
2003.8.28,32098,32441,,
2003.8.29,30246,30870,,
2003.8.30,30878,30317,,
2003.8.31,32739,31088,,
2003.9.1,28158,28336,,
2003.9.2,25753,24444,,
2003.9.3,26371,27621,,
2003.9.4,26500,25604,,
2003.9.5,26121,27126,,
2003.9.6,27406,29376,,
2003.9.7,28693,29510,,
2003.9.8,22802,24867,,
2003.9.9,17845,37837,,
2003.9.10,18763,43308,,
2003.9.11,17595,27163,,
2003.9.12,27490,23669,,
2003.9.13,40743,18312,,
2003.9.14,47295,23398,,
2003.9.15,37171,28574,,
2003.9.16,29294,27030,,
2003.9.17,26593,29056,,
